id,oai_id,value,order,file,verified,entry_type,has_attach,link_to_content
14219,oai:www.wbc.poznan.pl:66791,hitler przemawia (ilustracja),other_page,0601_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/66791
14220,oai:www.wbc.poznan.pl:66791,humor w polityce (rubryka),other_page,0601_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/66791
14221,oai:www.wbc.poznan.pl:66791,kto będzie uznany za żyda (węgry),other_page,0601_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/66791
14222,oai:www.wbc.poznan.pl:50594,handel w polsce,other_page,0055.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50594
14223,oai:www.wbc.poznan.pl:50594,z życia wielkopolski (rubryka),other_page,0055.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50594
14225,oai:www.wbc.poznan.pl:50594,ciekawostki,other_page,0055.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50594
14226,oai:www.wbc.poznan.pl:50594,wypadek z bronią,other_page,0055.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50594
14227,oai:www.wbc.poznan.pl:74206,amerykańskie manewry wojskowe (ilustracja),other_page,1127_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74206
14228,oai:www.wbc.poznan.pl:74206,nowy rekord lotniczy,other_page,1127_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74206
14229,oai:www.wbc.poznan.pl:74206,nowy samolot sowiecki,other_page,1127_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74206
14230,oai:www.wbc.poznan.pl:47304,ceny mięsa,other_page,0995.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47304
14232,oai:www.wbc.poznan.pl:47304,bereza kartuska,other_page,0995.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47304
14234,oai:www.wbc.poznan.pl:47304,wypadek z bronią,other_page,0995.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47304
14241,oai:www.wbc.poznan.pl:74208,biskupin,last_page,1142_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74208
14242,oai:www.wbc.poznan.pl:74208,ruch wycieczkowy,last_page,1142_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74208
14261,oai:www.wbc.poznan.pl:74214,wielkopolscy harcerze,other_page,1172_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14262,oai:www.wbc.poznan.pl:74214,wielki lot (powieść),other_page,1172_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14263,oai:www.wbc.poznan.pl:74214,prowokacje na granicy,other_page,1172_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14264,oai:www.wbc.poznan.pl:74214,orły porywają owce,other_page,1172_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14265,oai:www.wbc.poznan.pl:74214,przybory warty,other_page,1172_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14266,oai:www.wbc.poznan.pl:74214,mussolini,other_page,1172_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14267,oai:www.wbc.poznan.pl:74214,w każdym domu muszą być zapasy żywności na dwa tygodnie,other_page,1172_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
14268,oai:www.wbc.poznan.pl:74214,warta,other_page,1172_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/74214
