id,oai_id,value,order,file,verified,entry_type,has_attach,display_name,link_to_content
7448,oai:www.wbc.poznan.pl:46325,szamarzewskiego,other_page,353.djvu,5,1,FALSE,ul. szamarzewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46325
7449,oai:www.wbc.poznan.pl:46325,fredry,other_page,351.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/46325
7450,oai:www.wbc.poznan.pl:46325,kozia,last_page,354.djvu,5,1,FALSE,ul. kozia,https://www.wbc.poznan.pl/dlibra/publication/edition/46325
7451,oai:www.wbc.poznan.pl:46325,piekary,last_page,354.djvu,5,1,FALSE,ul. piekary,https://www.wbc.poznan.pl/dlibra/publication/edition/46325
746,oai:www.wbc.poznan.pl:51117,szkolna,last_page,0756.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51117
7466,oai:www.wbc.poznan.pl:66977,fredry,other_page,0799_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/66977
7470,oai:www.wbc.poznan.pl:46925,kraszewskiego,last_page,0506.djvu,5,1,FALSE,ul. kraszewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46925
7471,oai:www.wbc.poznan.pl:46925,pocztowa,last_page,0506.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46925
7473,oai:www.wbc.poznan.pl:46925,grunwaldzka,other_page,0504.djvu,5,1,FALSE,ul. grunwaldzka,https://www.wbc.poznan.pl/dlibra/publication/edition/46925
7474,oai:www.wbc.poznan.pl:46925,wrocławska,other_page,0504.djvu,5,1,FALSE,ul. wrocławska,https://www.wbc.poznan.pl/dlibra/publication/edition/46925
7494,oai:www.wbc.poznan.pl:51894,piaskowa,last_page,0536.djvu,5,1,FALSE,ul. piaskowa,https://www.wbc.poznan.pl/dlibra/publication/edition/51894
7495,oai:www.wbc.poznan.pl:51894,wolności,last_page,0536.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/51894
7512,oai:www.wbc.poznan.pl:50761,focha,other_page,0596.djvu,5,1,FALSE,ul. focha,https://www.wbc.poznan.pl/dlibra/publication/edition/50761
7520,oai:www.wbc.poznan.pl:61472,wolności,other_page,0864_0001.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/61472
7537,oai:www.wbc.poznan.pl:46652,wolności,other_page,0178.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46652
7544,oai:www.wbc.poznan.pl:46652,bukowska,last_page,0180.djvu,5,1,FALSE,ul. bukowska,https://www.wbc.poznan.pl/dlibra/publication/edition/46652
7547,oai:www.wbc.poznan.pl:46652,św. marcin,last_page,0180.djvu,5,1,FALSE,ul. św. marcin,https://www.wbc.poznan.pl/dlibra/publication/edition/46652
7549,oai:www.wbc.poznan.pl:46991,mickiewicza,other_page,0648.djvu,5,1,FALSE,ul. mickiewicza,https://www.wbc.poznan.pl/dlibra/publication/edition/46991
7557,oai:www.wbc.poznan.pl:50889,kanałowa,last_page,0324.djvu,5,1,FALSE,ul. kanałowa,https://www.wbc.poznan.pl/dlibra/publication/edition/50889
7558,oai:www.wbc.poznan.pl:50889,szkolna,last_page,0324.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/50889
7561,oai:www.wbc.poznan.pl:50889,szeląg,other_page,0322.djvu,5,1,FALSE,szeląg,https://www.wbc.poznan.pl/dlibra/publication/edition/50889
7575,oai:www.wbc.poznan.pl:73966,śniadeckich,last_page,716_0001.djvu,5,1,FALSE,ul. śniadeckich,https://www.wbc.poznan.pl/dlibra/publication/edition/73966
7579,oai:www.wbc.poznan.pl:73966,bukowska,other_page,714_0001.djvu,5,1,FALSE,ul. bukowska,https://www.wbc.poznan.pl/dlibra/publication/edition/73966
7585,oai:www.wbc.poznan.pl:51989,wrocławska,first_page,0859.djvu,5,1,FALSE,ul. wrocławska,https://www.wbc.poznan.pl/dlibra/publication/edition/51989
7588,oai:www.wbc.poznan.pl:51989,piekary,last_page,0864.djvu,5,1,FALSE,ul. piekary,https://www.wbc.poznan.pl/dlibra/publication/edition/51989
7591,oai:www.wbc.poznan.pl:46355,podgórna,last_page,446.djvu,5,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7593,oai:www.wbc.poznan.pl:46355,27 grudnia,other_page,443.djvu,5,1,FALSE,ul. 27 grudnia,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7595,oai:www.wbc.poznan.pl:46355,gwarna,other_page,443.djvu,5,1,FALSE,ul. gwarna,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7596,oai:www.wbc.poznan.pl:46355,wolności,other_page,443.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7597,oai:www.wbc.poznan.pl:46355,nowa,other_page,443.djvu,5,1,FALSE,ul. nowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7598,oai:www.wbc.poznan.pl:46355,kozia,other_page,445.djvu,5,1,FALSE,ul. kozia,https://www.wbc.poznan.pl/dlibra/publication/edition/46355
7605,oai:www.wbc.poznan.pl:61346,szkolna,last_page,0620_0001.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/61346
7631,oai:www.wbc.poznan.pl:51030,górna wilda,last_page,0444.djvu,5,1,FALSE,górna wilda,https://www.wbc.poznan.pl/dlibra/publication/edition/51030
7634,oai:www.wbc.poznan.pl:51030,szamarzewskiego,last_page,0444.djvu,5,1,FALSE,ul. szamarzewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/51030
7635,oai:www.wbc.poznan.pl:51030,szkolna,last_page,0444.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51030
7642,oai:www.wbc.poznan.pl:47628,wolności,other_page,1189.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/47628
7646,oai:www.wbc.poznan.pl:47628,fredry,other_page,1186.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/47628
766,oai:www.wbc.poznan.pl:51633,wolności,last_page,0060.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/51633
7660,oai:www.wbc.poznan.pl:46953,kraszewskiego,last_page,0584.djvu,5,1,FALSE,ul. kraszewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46953
7661,oai:www.wbc.poznan.pl:46953,noskowskiego,last_page,0584.djvu,5,1,FALSE,ul. noskowskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46953
7667,oai:www.wbc.poznan.pl:46953,wolności,other_page,0581.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46953
7669,oai:www.wbc.poznan.pl:62313,kilińskiego,last_page,0260_0001.djvu,5,1,FALSE,ul. kilińskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/62313
7687,oai:www.wbc.poznan.pl:47623,wolności,other_page,1158.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/47623
7688,oai:www.wbc.poznan.pl:47623,pocztowa,other_page,1158.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/47623
7689,oai:www.wbc.poznan.pl:47623,powstańcza,other_page,1158.djvu,5,1,FALSE,ul. powstańcza,https://www.wbc.poznan.pl/dlibra/publication/edition/47623
7691,oai:www.wbc.poznan.pl:62303,fredry,other_page,0199_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/62303
